----Type 1-----
 id : 38 , arrvial time : 0, process time: 3
 id : 794 , arrvial time : 7, process time: 3
 id : 549 , arrvial time : 16, process time: 5
 id : 507 , arrvial time : 16, process time: 1
 id : 303 , arrvial time : 19, process time: 1
 id : 683 , arrvial time : 20, process time: 4
 id : 407 , arrvial time : 21, process time: 4
 id : 237 , arrvial time : 22, process time: 4
 id : 723 , arrvial time : 26, process time: 2
 id : 273 , arrvial time : 35, process time: 1
 id : 614 , arrvial time : 42, process time: 4
 id : 142 , arrvial time : 44, process time: 2
 id : 572 , arrvial time : 48, process time: 2
 id : 281 , arrvial time : 51, process time: 1
 id : 130 , arrvial time : 52, process time: 4
 id : 863 , arrvial time : 52, process time: 4
 id : 634 , arrvial time : 59, process time: 3
 id : 205 , arrvial time : 63, process time: 4
 id : 171 , arrvial time : 67, process time: 5
 id : 151 , arrvial time : 81, process time: 5
 id : 721 , arrvial time : 81, process time: 5
 id : 185 , arrvial time : 82, process time: 1
 id : 669 , arrvial time : 83, process time: 5
 id : 759 , arrvial time : 85, process time: 5
 id : 405 , arrvial time : 86, process time: 4
 id : 995 , arrvial time : 86, process time: 4
 id : 360 , arrvial time : 89, process time: 4
 id : 847 , arrvial time : 90, process time: 3
 id : 553 , arrvial time : 92, process time: 4
 id : 256 , arrvial time : 93, process time: 2
 id : 474 , arrvial time : 93, process time: 3
 id : 96 , arrvial time : 95, process time: 2
 id : 491 , arrvial time : 95, process time: 3
 id : 255 , arrvial time : 95, process time: 4
 id : 374 , arrvial time : 96, process time: 2
 id : 928 , arrvial time : 101, process time: 2
 id : 773 , arrvial time : 102, process time: 1
 id : 25 , arrvial time : 104, process time: 2
 id : 476 , arrvial time : 104, process time: 3
 id : 984 , arrvial time : 104, process time: 1
 id : 780 , arrvial time : 108, process time: 3
 id : 187 , arrvial time : 116, process time: 3
 id : 422 , arrvial time : 120, process time: 4
 id : 459 , arrvial time : 132, process time: 4
 id : 388 , arrvial time : 133, process time: 3
 id : 164 , arrvial time : 134, process time: 2
 id : 808 , arrvial time : 137, process time: 4
 id : 771 , arrvial time : 144, process time: 1
 id : 711 , arrvial time : 145, process time: 4
 id : 543 , arrvial time : 146, process time: 3
 id : 167 , arrvial time : 151, process time: 3
 id : 305 , arrvial time : 153, process time: 2
 id : 108 , arrvial time : 160, process time: 1
 id : 653 , arrvial time : 164, process time: 3
 id : 383 , arrvial time : 167, process time: 4
 id : 685 , arrvial time : 169, process time: 4
 id : 585 , arrvial time : 169, process time: 2
 id : 203 , arrvial time : 175, process time: 5
 id : 217 , arrvial time : 178, process time: 2
 id : 972 , arrvial time : 182, process time: 2
 id : 182 , arrvial time : 190, process time: 2
 id : 665 , arrvial time : 192, process time: 5
 id : 246 , arrvial time : 192, process time: 1
 id : 613 , arrvial time : 197, process time: 5
 id : 426 , arrvial time : 199, process time: 3
 id : 708 , arrvial time : 207, process time: 1
 id : 853 , arrvial time : 210, process time: 5
 id : 830 , arrvial time : 213, process time: 3
 id : 899 , arrvial time : 216, process time: 4
 id : 555 , arrvial time : 217, process time: 1
 id : 831 , arrvial time : 218, process time: 5
 id : 133 , arrvial time : 218, process time: 2
 id : 66 , arrvial time : 220, process time: 1
 id : 12 , arrvial time : 225, process time: 4
 id : 385 , arrvial time : 231, process time: 2
 id : 372 , arrvial time : 235, process time: 4
 id : 204 , arrvial time : 238, process time: 4
 id : 417 , arrvial time : 246, process time: 3
 id : 775 , arrvial time : 251, process time: 2
 id : 178 , arrvial time : 252, process time: 2
 id : 964 , arrvial time : 257, process time: 5
 id : 783 , arrvial time : 262, process time: 3
 id : 803 , arrvial time : 263, process time: 4
 id : 644 , arrvial time : 264, process time: 2
 id : 705 , arrvial time : 264, process time: 5
 id : 518 , arrvial time : 265, process time: 5
 id : 306 , arrvial time : 265, process time: 2
 id : 482 , arrvial time : 267, process time: 3
 id : 492 , arrvial time : 283, process time: 4
 id : 546 , arrvial time : 284, process time: 5
 id : 152 , arrvial time : 285, process time: 1
 id : 259 , arrvial time : 289, process time: 1
 id : 268 , arrvial time : 291, process time: 1
 id : 113 , arrvial time : 298, process time: 3
 id : 503 , arrvial time : 303, process time: 4
 id : 176 , arrvial time : 303, process time: 5
 id : 355 , arrvial time : 306, process time: 2
 id : 986 , arrvial time : 309, process time: 2
 id : 463 , arrvial time : 310, process time: 3
 id : 472 , arrvial time : 311, process time: 5
 id : 884 , arrvial time : 313, process time: 5
 id : 497 , arrvial time : 325, process time: 4
 id : 212 , arrvial time : 326, process time: 5
 id : 435 , arrvial time : 327, process time: 1
 id : 909 , arrvial time : 328, process time: 1
 id : 552 , arrvial time : 330, process time: 2
 id : 760 , arrvial time : 331, process time: 1
 id : 913 , arrvial time : 334, process time: 3
 id : 916 , arrvial time : 335, process time: 2
 id : 980 , arrvial time : 336, process time: 3
 id : 640 , arrvial time : 340, process time: 3
 id : 749 , arrvial time : 341, process time: 2
 id : 266 , arrvial time : 354, process time: 2
 id : 274 , arrvial time : 356, process time: 5
 id : 864 , arrvial time : 358, process time: 2
 id : 752 , arrvial time : 359, process time: 3
 id : 423 , arrvial time : 359, process time: 1
 id : 475 , arrvial time : 365, process time: 2
 id : 757 , arrvial time : 366, process time: 4
 id : 189 , arrvial time : 367, process time: 2
 id : 554 , arrvial time : 368, process time: 2
 id : 65 , arrvial time : 369, process time: 3
 id : 380 , arrvial time : 374, process time: 2
 id : 233 , arrvial time : 376, process time: 4
 id : 921 , arrvial time : 379, process time: 2
 id : 119 , arrvial time : 384, process time: 1
 id : 677 , arrvial time : 389, process time: 5
 id : 7 , arrvial time : 393, process time: 5
 id : 156 , arrvial time : 402, process time: 4
 id : 582 , arrvial time : 405, process time: 2
 id : 105 , arrvial time : 406, process time: 2
 id : 356 , arrvial time : 409, process time: 5
 id : 449 , arrvial time : 411, process time: 3
 id : 398 , arrvial time : 411, process time: 4
 id : 815 , arrvial time : 414, process time: 1
 id : 349 , arrvial time : 416, process time: 3
 id : 832 , arrvial time : 420, process time: 2
 id : 408 , arrvial time : 423, process time: 3
 id : 278 , arrvial time : 427, process time: 3
 id : 904 , arrvial time : 432, process time: 2
 id : 98 , arrvial time : 433, process time: 1
 id : 852 , arrvial time : 438, process time: 3
 id : 309 , arrvial time : 443, process time: 3
 id : 1 , arrvial time : 449, process time: 1
 id : 724 , arrvial time : 450, process time: 4
 id : 230 , arrvial time : 453, process time: 1
 id : 41 , arrvial time : 456, process time: 1
 id : 320 , arrvial time : 458, process time: 3
 id : 970 , arrvial time : 458, process time: 3
 id : 533 , arrvial time : 461, process time: 4
 id : 37 , arrvial time : 461, process time: 4
 id : 524 , arrvial time : 461, process time: 4
 id : 445 , arrvial time : 462, process time: 3
 id : 150 , arrvial time : 467, process time: 1
 id : 461 , arrvial time : 473, process time: 3
 id : 633 , arrvial time : 475, process time: 3
